"regulatoryGene"	"targetGene"	"weight"	"weightNorm"
"ZFX"	"AF086507"	0.022050066464465	0.393656117960368
"ZNF677"	"CACNA1E"	0.0220479050572403	0.393617530721696
"ZNF117"	"GAS7"	0.0220472565969768	0.393605953869971
"ZNF675"	"EPHB4"	0.0220462904142132	0.393588704772034
"NR3C1"	"MYBPC3"	0.0220452673654231	0.393570440454516
"SMAD1"	"KMT2B"	0.0220448954856544	0.393563801347721
"DNAJC2"	"HECA"	0.0220430916662269	0.393531598063687
"OVOL1"	"FAM205BP"	0.0220426587769195	0.393523869763887
"AIRE"	"TPM1"	0.0220406971238677	0.393488848702775
"ZNF552"	"MEGF9"	0.0220402584263919	0.393481016710724
"ZFP69B"	"CACHD1"	0.0220402017670308	0.393480005180706
"ZNF345"	"ZNF391"	0.0220401222251893	0.393478585133624
"NR3C1"	"SPATA20"	0.0220400261392792	0.393476869728075
"POU3F2"	"GNAI3"	0.0220398484279576	0.393473697077821
"ZFY"	"U03237"	0.0220396323641136	0.393469839726452
"ZNF415"	"BCAN"	0.0220391982191427	0.393462089009502
"ELK4"	"HPSE"	0.0220390245609332	0.393458988718775
"RAX"	"ANO3"	0.0220380334677021	0.393441294898463
"TSC22D1"	"SIRPB1"	0.0220377154579788	0.393435617524503
"ZNF33B"	"TXLNG2P"	0.0220346604282759	0.393381076594432
"PRDM8"	"AK022141"	0.0220341053548573	0.3933711669623
"MGA"	"AB049629"	0.0220328174952318	0.393348175021597
"SNAI2"	"AK022236"	0.0220313745886239	0.393322415053265
"FOXO3"	"KMT2E"	0.0220313228766345	0.393321491847839
"E2F8"	"ZNF311"	0.0220299937837493	0.393297763776705
"HOXD4"	"SP3"	0.0220299815643237	0.39329754562536
"USF2"	"AK025869"	0.0220298579964475	0.393295339588905
"NME2"	"CRK"	0.022029253348945	0.393284544919014
"ZNF195"	"RPL18"	0.0220275375348059	0.393253912778552
"MSX2"	"TNS3"	0.0220271430569016	0.393246870231053
"LTF"	"KRT14"	0.0220270187133558	0.3932446503467
"CEBPZ"	"RPL22L1"	0.0220266654901485	0.393238344312349
